iter	Passed	Remaining
0	37	37472
1	71	35848
2	110	36616
3	148	36977
4	182	36338
5	217	36062
6	258	36697
7	300	37255
8	339	37395
9	381	37754
10	425	38236
11	467	38492
12	509	38710
13	552	38882
14	592	38937
15	632	38902
16	673	38973
17	713	38930
18	753	38926
19	793	38890
20	837	39029
21	875	38927
22	912	38777
23	950	38664
24	986	38486
25	1027	38502
26	1067	38477
27	1107	38459
28	1147	38424
29	1190	38487
30	1235	38623
31	1279	38703
32	1325	38827
33	1371	38967
34	1405	38756
35	1447	38769
36	1491	38829
37	1532	38794
38	1574	38786
39	1620	38902
40	1663	38899
41	1719	39227
42	1770	39411
43	1813	39402
44	1857	39426
45	1901	39438
46	1945	39448
47	1991	39507
48	2051	39808
49	2098	39865
50	2141	39850
51	2183	39813
52	2229	39839
53	2271	39791
54	2317	39812
55	2361	39804
56	2404	39784
57	2449	39787
58	2489	39700
59	2532	39674
60	2576	39656
61	2620	39645
62	2669	39700
63	2719	39766
64	2763	39749
65	2807	39727
66	2851	39709
67	2894	39668
68	2939	39664
69	2982	39627
70	3023	39565
71	3063	39479
72	3103	39411
73	3144	39353
74	3183	39266
75	3231	39287
76	3293	39477
77	3339	39478
78	3383	39450
79	3426	39399
80	3467	39339
81	3510	39302
82	3551	39238
83	3592	39175
84	3635	39130
85	3680	39116
86	3733	39180
87	3782	39201
88	3830	39207
89	3873	39168
90	3921	39174
91	3964	39123
92	4004	39053
93	4047	39015
94	4083	38900
95	4117	38772
96	4174	38857
97	4214	38793
98	4281	38963
99	4352	39172
100	4405	39212
101	4456	39231
102	4500	39194
103	4546	39165
104	4590	39130
105	4636	39107
106	4695	39188
107	4756	39284
108	4844	39603
109	4979	40286
110	5059	40518
111	5165	40953
112	5221	40987
113	5271	40966
114	5319	40937
115	5365	40885
116	5413	40853
117	5457	40795
118	5499	40713
119	5538	40614
120	5578	40522
121	5618	40433
122	5656	40328
123	5693	40222
124	5736	40158
125	5780	40097
126	5823	40029
127	5865	39960
128	5919	39966
129	5970	39954
130	6014	39898
131	6059	39843
132	6103	39788
133	6144	39707
134	6189	39657
135	6231	39588
136	6274	39523
137	6319	39471
138	6364	39421
139	6405	39347
140	6447	39277
141	6487	39201
142	6524	39098
143	6565	39030
144	6603	38939
145	6642	38854
146	6678	38754
147	6715	38657
148	6753	38573
149	6793	38494
150	6836	38436
151	6881	38391
152	6919	38308
153	6959	38232
154	6999	38159
155	7036	38071
156	7072	37973
157	7109	37886
158	7147	37803
159	7186	37728
160	7223	37641
161	7265	37581
162	7300	37488
163	7338	37407
164	7375	37324
165	7413	37244
166	7449	37159
167	7487	37079
168	7523	36992
169	7558	36904
170	7594	36818
171	7630	36733
172	7667	36654
173	7703	36571
174	7738	36483
175	7775	36403
176	7812	36327
177	7849	36250
178	7892	36200
179	7935	36150
180	7987	36143
181	8029	36087
182	8069	36025
183	8107	35953
184	8143	35876
185	8181	35803
